日期,id,车型,制造商,价格范围,销量
2022-02,393,朗逸,大众,6.59-10.00万,26707
2022-02,4499,五菱宏光MINIEV,五菱汽车,2.38-9.99万,26116
2022-02,280,本田CR-V,本田,18.59-26.39万,21745
2022-02,4865,宋PLUS DM,比亚迪,11.98-17.58万,19055
2022-02,649,哈弗H6,哈弗,7.19-12.19万,18790
2022-02,4363,Model Y,特斯拉,26.35-31.35万,18593
2022-02,1290,五菱宏光,五菱汽车,4.65-6.09万,17847
2022-02,542,卡罗拉,丰田,9.68-13.58万,15363
2022-02,4802,秦PLUS DM,比亚迪,7.28-11.38万,14242
2022-02,535,凯美瑞,丰田,12.18-20.98万,14228
2022-02,289,雅阁,本田,12.48-18.38万,13816
2022-02,414,速腾,大众,7.79-15.89万,12540
2022-02,3196,长安CS75 PLUS,长安,8.99-13.49万,12297
2022-02,546,RAV4荣放,丰田,12.78-19.68万,12083
2022-02,279,本田XR-V,本田,11.99-13.99万,11735
2022-02,3068,亚洲龙,丰田,15.88-23.68万,11236
2022-02,288,缤智,本田,10.49-12.49万,11073
2022-02,1147,天籁,日产,12.78-18.78万,10268
2022-02,145,宝马3系,宝马,21.49-28.79万,10185
2022-02,733,帝豪,吉利汽车,4.89-14.98万,10080
2022-02,311,唐DM,比亚迪,16.98-26.98万,10026
2022-02,409,宝来,大众,6.49-9.59万,10004
2022-02,616,传祺GS4,广汽传祺,8.98-10.08万,10002
2022-02,216,奔驰GLC,奔驰,42.78-53.13万,9958
2022-02,1455,逸动,长安,6.39-7.69万,9784
2022-02,1150,逍客,日产,9.98-14.88万,9743
2022-02,96,奥迪A4L,奥迪,20.92-36.28万,9460
2022-02,404,途观L,大众,12.68-21.48万,9375
2022-02,3192,五菱宏光V,五菱汽车,4.48-5.28万,9259
2022-02,3159,红旗HS5,红旗,12.88-19.48万,9106
2022-02,353,别克GL8,别克,23.29-47.39万,9090
2022-02,534,雷凌,丰田,8.18-11.68万,9069
2022-02,4300,汉EV,比亚迪,16.98-23.58万,8935
2022-02,276,思域,本田,12.99-18.79万,8833
2022-02,5008,海豚,比亚迪,9.18-12.58万,8561
2022-02,214,奔驰E级,奔驰,45.18-59.98万,8332
2022-02,4899,秦PLUS EV,比亚迪,9.98-17.98万,8264
2022-02,398,帕萨特,大众,12.65-20.74万,8254
2022-02,146,宝马5系,宝马,30.59-52.59万,8064
2022-02,3041,荣威i5,荣威,4.99-7.19万,8019
2022-02,99,奥迪A6L,奥迪,28.28-50.80万,7966
2022-02,741,博越,吉利汽车,8.28-10.88万,7934
2022-02,2916,奥迪Q5L,奥迪,26.50-32.50万,7886
2022-02,4172,威兰达,丰田,12.98-22.08万,7726
2022-02,2812,宝马X3,宝马,34.99-48.69万,7347
2022-02,2836,途岳,大众,7.99-16.29万,7320
2022-02,283,飞度,本田,8.18-10.38万,7281
2022-02,4563,哈弗大狗,哈弗,9.09-11.69万,7228
2022-02,5037,五菱星辰,五菱汽车,6.38-9.28万,7184
2022-02,536,汉兰达,丰田,17.98-27.88万,7115
2022-02,4857,星越L,吉利汽车,13.27-16.47万,7022
2022-02,415,迈腾,大众,14.19-21.69万,6951
2022-02,1182,荣威RX5,荣威,7.49-15.59万,6585
2022-02,4079,皓影,本田,12.79-23.89万,6502
2022-02,4615,坦克300,坦克,19.98-33.00万,6468
2022-02,1310,伊兰特,现代,9.98-14.98万,6453
2022-02,5257,QQ冰淇淋,奇瑞新能源,2.59-5.29万,6442
2022-02,1291,五菱荣光,五菱汽车,4.09-4.75万,6428
2022-02,3476,星瑞,吉利汽车,9.27-13.57万,6001
2022-02,3094,科鲁泽,雪佛兰,9.49-10.89万,6001
2022-02,2975,缤越,吉利汽车,5.98-8.98万,5742
2022-02,1014,马自达3 昂克赛拉,马自达,8.99-14.19万,5649
2022-02,1977,探歌,大众,10.79-12.87万,5636
2022-02,345,威朗,别克,12.89-15.89万,5633
2022-02,4416,奔奔E-Star,长安欧尚,7.99万,5560
2022-02,2794,瑞虎8,奇瑞,7.99-15.99万,5509
2022-02,212,奔驰C级,奔驰,33.48-38.06万,5298
2022-02,4840,皇冠陆放,丰田,28.48-33.28万,5294
2022-02,3171,捷达VS5,捷达,6.96-10.79万,5238
2022-02,3736,凯迪拉克CT5,凯迪拉克,18.59-21.59万,5236
2022-02,2835,探岳,大众,13.29-22.89万,5219
2022-02,31,MG5,名爵,5.79-7.59万,5125
2022-02,148,宝马X1,宝马,16.69-40.99万,5120
2022-02,2875,英仕派,本田,18.28-22.98万,5103
2022-02,4223,长安CS55 PLUS,长安,7.99-12.59万,5013
2022-02,5251,哈弗神兽,哈弗,13.00-16.70万,5009
2022-02,3365,奕炫,东风风神,6.49-10.68万,5002
2022-02,1794,传祺M8,广汽传祺,16.98-33.28万,5001
2022-02,348,君威,别克,15.98-17.58万,5000
2022-02,95,奥迪A3,奥迪,13.69-25.13万,4816
2022-02,410,高尔夫,大众,12.48-15.34万,4780
2022-02,5340,型格,本田,10.99-16.69万,4624
2022-02,3762,Model 3,特斯拉,23.55-33.95万,4607
2022-02,352,昂科威,别克,22.99-25.99万,4529
2022-02,5248,元PLUS,比亚迪,10.98-14.58万,4515
2022-02,1938,捷途X70,捷途,8.69-12.28万,4421
2022-02,100,奥迪Q3,奥迪,18.40-33.58万,4402
2022-02,4981,元Pro,比亚迪,7.98-9.78万,4311
2022-02,5382,卡罗拉锐放,丰田,9.98-15.48万,4155
2022-02,1594,哈弗M6,哈弗,7.19-9.29万,4140
2022-02,5223,赛那,丰田,22.98-34.08万,4120
2022-02,4629,哪吒V,哪吒汽车,7.39-10.38万,4073
2022-02,4986,凌放HARRIER,丰田,19.18-27.58万,4051
2022-02,4783,长安UNI-K,长安,12.99-15.99万,4038
2022-02,397,凌渡,大众,9.89-14.59万,3915
2022-02,4635,欧拉好猫,欧拉,9.38-12.38万,3848
2022-02,4353,长安UNI-T,长安,9.99-12.99万,3758
2022-02,1101,小蚂蚁,奇瑞新能源,5.59-7.29万,3735
2022-02,4540,宋PLUS EV,比亚迪,14.18-17.58万,3699
2022-02,3352,小鹏P7,小鹏汽车,19.99-22.49万,3537
2022-02,4819,思皓花仙子,思皓,5.99-7.49万,3381
2022-02,3101,AION S,埃安,11.88-16.99万,3380
2022-02,1323,现代ix35,现代,12.18-16.78万,3372
2022-02,445,菱智,东风风行,5.99-9.99万,3357
2022-02,4654,风行T5 EVO,东风风行,9.99-13.99万,3332
2022-02,2843,蔚来ES6,蔚来,33.80-39.60万,3309
2022-02,1292,五菱之光,五菱汽车,3.51-3.79万,3270
2022-02,4921,哈弗赤兔,哈弗,8.28-12.88万,3264
2022-02,1094,瑞虎7,奇瑞,6.99-12.98万,3158
2022-02,861,凯迪拉克XT5,凯迪拉克,23.59-45.27万,3154
2022-02,1143,骐达TIIDA,日产,7.99-10.59万,3126
2022-02,1623,领克03,领克,11.68-42.03万,3077
2022-02,291,奥德赛,本田,17.58-37.98万,3069
2022-02,3437,揽境,大众,20.19-30.19万,3049
2022-02,3275,哪吒U,哪吒汽车,11.88-20.68万,3044
2022-02,5153,启辰大V,启辰,9.98-12.88万,3041
2022-02,1655,东风风神E70,东风风神,14.28-15.38万,3033
2022-02,3928,奔驰GLB,奔驰,31.19-36.79万,3030
2022-02,4814,AION Y,埃安,10.98-14.58万,2986
2022-02,5015,ZEEKR 001,极氪,25.90-32.90万,2916
2022-02,3172,捷达VA3,捷达,6.28-8.98万,2861
2022-02,2971,凯迪拉克XT4,凯迪拉克,15.97-20.57万,2843
2022-02,1282,沃尔沃XC60,沃尔沃,24.90-45.89万,2836
2022-02,1355,迈锐宝XL,雪佛兰,17.59-21.99万,2792
2022-02,5369,锋兰达,丰田,8.78-14.68万,2734
2022-02,1081,艾瑞泽5,奇瑞,5.39-7.59万,2721
2022-02,347,君越,别克,17.99-23.99万,2719
2022-02,405,途昂,大众,19.90-33.90万,2655
2022-02,1359,探界者,雪佛兰,18.49-23.99万,2651
2022-02,3981,冒险家,林肯,18.88-29.08万,2593
2022-02,282,艾力绅,本田,27.98-33.18万,2497
2022-02,735,帝豪EV,吉利几何,15.98-16.98万,2494
2022-02,2913,奔驰A级,奔驰,25.13-27.57万,2478
2022-02,5048,凡尔赛C5 X,雪铁龙,12.67-16.97万,2455
2022-02,391,Polo,大众,6.59-9.99万,2454
2022-02,1738,瑞虎5x,奇瑞,5.59-7.89万,2407
2022-02,436,风光580,东风风光,7.99-12.99万,2404
2022-02,4586,ID.4 CROZZ,大众,13.99-23.36万,2311
2022-02,287,凌派,本田,9.68-14.68万,2303
2022-02,3351,启辰D60 EV,启辰,13.98-14.78万,2272
2022-02,4125,东风纳米EX1,东风纳米,4.57万,2211
2022-02,3157,吉利几何A,吉利几何,11.98-12.98万,2192
2022-02,2963,奥迪Q2L,奥迪,12.98-19.00万,2171
2022-02,5288,长安UNI-V,长安,9.39-13.99万,2142
2022-02,4426,AION V,埃安,12.18-18.18万,2140
2022-02,1016,马自达CX-5,马自达,12.58-19.78万,2132
2022-02,32,MG6,名爵,10.38-13.98万,2111
2022-02,4342,领克06,领克,9.76-11.76万,2100
2022-02,4569,凯捷Victory,五菱汽车,8.58-14.98万,2083
2022-02,457,东风风神AX7,东风风神,13.98万,2083
2022-02,5004,小鹏P5,小鹏汽车,15.69-17.49万,2059
2022-02,2832,传祺M6,广汽传祺,10.48-14.48万,2039
2022-02,1322,途胜,现代,15.98-22.58万,2035
2022-02,4503,凌宝BOX,凌宝汽车,3.98-6.88万,2025
2022-02,3359,微蓝6,别克,11.28-16.89万,2014
2022-02,4787,影豹,广汽传祺,9.30-15.00万,2002
2022-02,617,传祺GS8,广汽传祺,15.48-24.08万,2000
2022-02,1820,秦EV,比亚迪,15.58-16.98万,1995
2022-02,3710,CLEVER,荣威,5.20万,1977
2022-02,4258,ID.4 X,大众,13.99-22.34万,1973
2022-02,1279,沃尔沃S60,沃尔沃,18.90-38.49万,1934
2022-02,3276,捷达VS7,捷达,8.79-12.39万,1923
2022-02,4792,星途凌云,星途,11.77-15.49万,1913
2022-02,4272,零跑T03,零跑汽车,5.39-6.52万,1907
2022-02,292,冠道,本田,18.98-27.98万,1862
2022-02,3164,凯迪拉克XT6,凯迪拉克,34.99-55.27万,1820
2022-02,3334,锐际,福特,11.98-16.98万,1789
2022-02,1151,奇骏,日产,13.13-26.29万,1762
2022-02,4357,蔚来EC6,蔚来,35.80-41.60万,1738
2022-02,2928,缤瑞,吉利汽车,7.48-9.48万,1726
2022-02,215,奔驰GLA,奔驰,29.99-34.69万,1724
2022-02,4801,亚洲狮,丰田,14.18-17.98万,1702
2022-02,3066,途铠,大众,8.39-12.99万,1701
2022-02,281,本田UR-V,本田,24.68-32.98万,1672
2022-02,5217,大众ID.3,大众,11.99-13.69万,1630
2022-02,1636,丰田C-HR,丰田,15.28-19.28万,1614
2022-02,5151,枫叶60s,睿蓝汽车,14.98-15.98万,1611
2022-02,1621,传祺GS3,广汽传祺,6.98-9.28万,1533
2022-02,416,大众CC,大众,17.49-22.49万,1531
2022-02,1123,智跑,起亚,10.48-12.28万,1530
2022-02,4731,零跑C11,零跑汽车,13.38-19.51万,1521
2022-02,1810,风行S50 EV,东风风行,15.09-16.99万,1511
2022-02,3052,长安CS35 PLUS,长安,6.99-8.19万,1510
2022-02,337,标致508L,标致,14.67-19.07万,1507
2022-02,4355,红旗H9,红旗,23.28-44.28万,1482
2022-02,1281,沃尔沃S90,沃尔沃,27.90-50.59万,1476
2022-02,4538,宝马iX3,宝马,22.50-26.00万,1472
2022-02,4180,柯米克GT,斯柯达,11.99万,1470
2022-02,4859,思皓QX,思皓,10.19-19.69万,1465
2022-02,4961,ID.6 CROZZ,大众,19.59-27.39万,1461
2022-02,585,锐界,福特,19.88-29.18万,1451
2022-02,1622,领克01,领克,12.58-16.68万,1438
2022-02,4703,风光500,东风风光,6.18-8.58万,1428
2022-02,1475,欧诺S,长安凯程,4.69-5.44万,1342
2022-02,4944,朋克多多,朋克汽车,4.58-4.98万,1324
2022-02,4078,探影,大众,9.39-9.69万,1312
2022-02,4076,比亚迪e3,比亚迪,15.48万,1279
2022-02,4796,凌尚,丰田,10.58-13.58万,1273
2022-02,4537,航海家,林肯,27.08-41.38万,1255
2022-02,3095,享域,本田,10.98-16.99万,1253
2022-02,5093,宝骏KiWi EV,宝骏,8.78-10.28万,1250
2022-02,4663,本田LIFE,本田,9.78-11.28万,1247
2022-02,1712,风光S560,东风风光,6.79-7.89万,1230
2022-02,5264,思皓曜,思皓,9.88-19.68万,1208
2022-02,4313,发现运动版,路虎,38.83-39.99万,1203
2022-02,3721,斯威G05,SWM斯威汽车,8.69-12.98万,1199
2022-02,2849,捷途X90,捷途,13.99-17.29万,1188
2022-02,1760,荣威Ei5,荣威,15.28-16.68万,1175
2022-02,2984,大通G50,上汽大通MAXUS,7.68-13.98万,1155
2022-02,4080,昂科旗,别克,29.99-35.99万,1154
2022-02,4284,探险者,福特,30.98-39.98万,1123
2022-02,859,凯迪拉克CT6,凯迪拉克,27.97-38.97万,1123
2022-02,164,北京越野BJ40,北京越野,13.98-26.99万,1112
2022-02,1628,启辰D60,启辰,8.88-9.98万,1097
2022-02,1616,蔚来ES8,蔚来,49.80-59.80万,1084
2022-02,5250,MG ONE,名爵,8.78-10.98万,1077
2022-02,4422,北京X7,北京汽车,11.99-13.99万,1077
2022-02,5034,库斯途,现代,17.18-22.08万,1076
2022-02,579,蒙迪欧,福特,12.58-22.98万,1069
2022-02,5343,问界M5,AITO,22.98-27.98万,1061
2022-02,5283,领克09 EM-P,领克,27.48-31.48万,1061
2022-02,1579,劲客,日产,7.98-9.38万,1061
2022-02,2890,奕跑,起亚,5.88-7.28万,1055
2022-02,2716,奔驰E级PHEV,奔驰,53.86万,1046
2022-02,340,标致4008,标致,12.97-13.97万,1046
2022-02,4743,思皓X8,思皓,8.88-17.28万,1040
2022-02,4901,五菱征程,五菱汽车,6.98-9.08万,1039
2022-02,245,奔驰V级,奔驰,47.88-66.98万,1031
2022-02,5122,创维EV6,创维汽车,10.98-32.98万,1016
2022-02,4535,荣威iMAX8,荣威,16.58-23.58万,1016
2022-02,4871,朋克美美,朋克汽车,4.88万,1012
2022-02,768,瑞风M3,江淮瑞风,6.58-12.79万,1007
2022-02,4989,奥迪Q5L Sportback,奥迪,30.50-42.98万,973
2022-02,1116,起亚K3,起亚,8.19-11.29万,963
2022-02,4381,马自达CX-30,马自达,9.99-13.99万,940
2022-02,993,揽胜极光,路虎,39.28-47.58万,935
2022-02,437,风光330,东风风光,4.19-6.88万,907
2022-02,3355,沃尔沃XC40,沃尔沃,18.50-35.48万,864
2022-02,4380,吉利几何C,吉利几何,14.37-20.78万,862
2022-02,244,威霆,奔驰,29.38-38.68万,847
2022-02,4311,炫界,凯翼,6.39-9.49万,845
2022-02,4182,凯迪拉克CT4,凯迪拉克,21.97-25.97万,831
2022-02,2982,领界,福特,10.98-16.48万,819
2022-02,2989,帕萨特PHEV,大众,19.22-20.11万,789
2022-02,2993,长安CS85 COUPE,长安,11.49-15.99万,788
2022-02,3463,领克05,领克,17.78-22.68万,785
2022-02,5059,金海狮,SRM鑫源,6.09-10.59万,781
2022-02,4990,奥迪Q3 Sportback,奥迪,19.60-34.10万,775
2022-02,267,奔腾B70,奔腾,9.88-13.79万,767
2022-02,2827,奕泽IZOA,丰田,14.98-18.98万,752
2022-02,4760,岚图FREE,岚图,21.89-24.69万,740
2022-02,2151,红旗HS7,红旗,20.08-28.08万,730
2022-02,1241,明锐,斯柯达,14.39-15.49万,726
2022-02,1092,瑞虎3x,奇瑞,4.99-6.19万,723
2022-02,1183,荣威eRX5,荣威,13.59-14.79万,722
2022-02,4074,北京EU5,北京汽车,12.99-17.19万,713
2022-02,5081,领克09,领克,22.78-23.48万,689
2022-02,4201,海马7X,海马,12.98-16.38万,689
2022-02,5210,传祺GS4 PLUS,广汽传祺,11.18-12.28万,688
2022-02,3455,比亚迪e2,比亚迪,8.98-14.78万,680
2022-02,4759,领裕,福特,15.38-20.18万,640
2022-02,5089,合创Z03,合创汽车,13.48-18.28万,636
2022-02,2887,宋MAX DM,比亚迪,13.78-16.48万,624
2022-02,5092,红旗E-QM5,红旗,16.58-23.98万,618
2022-02,4209,VGV U70,中国重汽VGV,7.79-11.89万,610
2022-02,2970,启辰T60,启辰,8.68-11.28万,596
2022-02,1661,柯珞克,斯柯达,14.99-15.49万,586
2022-02,4894,ID.6 X,大众,19.39-22.79万,577
2022-02,2867,奔腾T77,奔腾,11.48-12.38万,559
2022-02,4188,锐程CC,长安,9.79-11.29万,558
2022-02,3142,迈腾GTE,大众,18.69-20.19万,545
2022-02,2880,吉利ICON,吉利汽车,9.19-11.39万,527
2022-02,798,捷豹XFL,捷豹,43.99-48.79万,520
2022-02,4425,探岳X,大众,16.79-19.79万,518
2022-02,4339,飞行家,林肯,40.58-66.88万,518
2022-02,4730,本田CR-V PHEV,本田,22.59-26.99万,515
2022-02,338,标致2008,标致,9.97万,513
2022-02,53,斯威X7,SWM斯威汽车,8.49-10.59万,501
2022-02,4160,威然,大众,19.99-29.99万,495
2022-02,336,标致408,标致,8.07-9.67万,493
2022-02,1211,大通G10,上汽大通MAXUS,10.30-18.48万,485
2022-02,1789,捷豹XEL,捷豹,32.98-34.18万,482
2022-02,3001,途观L PHEV,大众,21.61-22.70万,480
2022-02,1119,起亚K5,起亚,12.38-17.38万,470
2022-02,54,斯威X3,SWM斯威汽车,5.88万,440
2022-02,2167,嘉际,吉利汽车,10.97-14.28万,436
2022-02,4388,悦虎,大运,6.38-8.70万,431
2022-02,5033,轩度,凯翼,7.98-9.39万,422
2022-02,4329,RAV4荣放PHEV,丰田,24.88-29.78万,416
2022-02,5067,EVOS,福特,15.98-21.98万,412
2022-02,4276,启辰星,启辰,12.66-14.96万,390
2022-02,2779,斯威G01,SWM斯威汽车,26.98万,387
2022-02,1318,索纳塔,现代,13.98-18.68万,363
2022-02,4861,奔腾NAT,奔腾,13.98-16.48万,359
2022-02,4228,汉DM,比亚迪,15.58-22.58万,349
2022-02,4196,开拓者,雪佛兰,19.49-26.69万,325
2022-02,4839,皓影 PHEV,本田,17.59-21.99万,315
2022-02,4340,领克06 EM-P,领克,13.38-14.28万,308
2022-02,1245,柯迪亚克,斯柯达,19.19-24.39万,299
2022-02,5293,YOUNG光小新,电动屋,6.58-8.48万,295
2022-02,653,哈弗H9,哈弗,17.49-23.09万,292
2022-02,4385,极狐 阿尔法T,ARCFOX极狐,18.58-28.08万,284
2022-02,341,标致5008,标致,14.97-20.47万,281
2022-02,4813,威兰达PHEV,丰田,25.68-29.18万,268
2022-02,407,途安L,大众,14.68-17.58万,267
2022-02,5014,小虎FEV,小虎,4.19-5.59万,266
2022-02,4637,极狐 阿尔法S,ARCFOX极狐,18.98-32.98万,266
2022-02,4834,华晨新日i03,华晨新日,4.39-9.88万,259
2022-02,4302,奥迪A7L,奥迪,41.87-66.62万,258
2022-02,3096,广汽本田VE-1,理念,11.88-14.58万,256
2022-02,1423,英菲尼迪QX50,英菲尼迪,35.08-39.18万,255
2022-02,4649,思皓E50A,思皓,15.29-18.98万,252
2022-02,1792,沃尔沃XC60 PHEV,沃尔沃,39.09-60.39万,249
2022-02,1642,天逸 C5 AIRCROSS,雪铁龙,13.27-17.77万,248
2022-02,1126,嘉华,起亚,22.89-27.99万,243
2022-02,2883,领克01 EM-P,领克,18.58-21.38万,219
2022-02,4795,绎乐,广汽集团,16.78-18.98万,210
2022-02,4794,奔腾T55,奔腾,8.59-10.49万,210
2022-02,4391,e爱丽舍,东风富康,12.98-13.98万,210
2022-02,3932,奔驰EQB,奔驰,35.20-42.80万,206
2022-02,3474,奔腾T99,奔腾,13.49-18.69万,205
2022-02,1719,焕驰,起亚,6.49-6.89万,205
2022-02,3028,易至EV3,江铃集团新能源,5.28-6.68万,202
2022-02,1729,奔驰EQA,奔驰,32.20万,199
2022-02,1324,胜达,现代,19.58-26.88万,194
2022-02,1243,速派,斯柯达,11.99-13.99万,193
2022-02,2937,沃尔沃S90 PHEV,沃尔沃,34.90-61.39万,190
2022-02,3724,DS 9,DS,27.49-34.99万,182
2022-02,1713,云度π1,云度,7.98万,180
2022-02,4542,远志M1,大运,17.48-31.88万,177
2022-02,3360,奔驰A级AMG,奔驰,41.13万,168
2022-02,4146,红旗E-HS9,红旗,43.98-70.98万,166
2022-02,4081,雪佛兰畅巡,雪佛兰,18.29-19.79万,161
2022-02,4068,东南DX5,东南,6.99-9.99万,146
2022-02,1463,长安CS95,长安,16.79-19.19万,126
2022-02,1422,英菲尼迪Q50L,英菲尼迪,26.48-38.98万,117
2022-02,3337,奥迪Q2L e-tron,奥迪,24.38万,115
2022-02,5407,华晨新日i03A,华晨新日,9.88-12.50万,101
2022-02,1647,北京越野BJ90,北京越野,47.80-49.80万,101
2022-02,1406,森雅R7,一汽,7.98-8.98万,100
2022-02,4858,羿,江铃集团新能源,11.88-19.98万,99
2022-02,1280,沃尔沃S60 PHEV,沃尔沃,33.39-38.29万,81
2022-02,2990,东南A5翼舞,东南,5.79-11.99万,71
2022-02,4156,领克05 EM-P,领克,21.38万,66
2022-02,573,途睿欧,福特,19.96-25.00万,58
2022-02,848,优优,开瑞,3.99-6.24万,55
2022-02,484,东南DX3,东南,6.96-12.99万,50
2022-02,1357,创酷,雪佛兰,10.99-12.89万,46
2022-02,5149,奔腾B70S,奔腾,10.99-14.29万,34
2022-02,2889,菲斯塔,现代,13.88-15.48万,32
2022-02,485,东南DX7,东南,9.99-13.99万,28
2022-02,3390,北京X3,北京汽车,5.99-8.79万,26
2022-02,5188,VGV U75PLUS,中国重汽VGV,11.79-15.19万,24
2022-02,3503,AION LX,埃安,28.66-46.96万,20
2022-02,4549,锐际PHEV,福特,20.80万,19
2022-02,3723,合创007,合创汽车,29.98万,19
2022-02,5367,炫界Pro EV,凯翼,11.99-17.66万,16
2022-02,2828,海马8S,海马,7.99-13.69万,14
2022-02,4157,DS 9 PHEV,DS,33.49-40.49万,9
2022-02,165,北京越野BJ80,北京越野,29.80-39.80万,8
2022-02,1805,DS 7,DS,24.99-32.99万,7
2022-02,4688,枫叶80v,睿蓝汽车,8.98-17.87万,6
2022-02,559,新龙马汽车启腾EX80,新龙马汽车,5.88-6.18万,5
2022-02,4117,标致4008 PHEV,标致,24.97-25.97万,3
2022-02,4278,奔腾E01,奔腾,19.68-22.88万,1
2022-02,3453,启辰T60 EV,启辰,18.98万,1
2022-02,3076,富康ES500,东风富康,14.18万,1
2022-02,3065,北京U7,北京汽车,8.79-12.29万,1
2022-03,4499,五菱宏光MINIEV,五菱汽车,2.38-9.99万,41980
2022-03,4363,Model Y,特斯拉,26.35-31.35万,39730
2022-03,1145,轩逸,日产,6.98-14.48万,30240
2022-03,3762,Model 3,特斯拉,23.55-33.95万,26024
2022-03,3196,长安CS75 PLUS,长安,8.99-13.49万,22811
2022-03,535,凯美瑞,丰田,12.18-20.98万,22518
2022-03,4865,宋PLUS DM,比亚迪,11.98-17.58万,22375
2022-03,393,朗逸,大众,6.59-10.00万,21331
2022-03,534,雷凌,丰田,8.18-11.68万,19488
2022-03,649,哈弗H6,哈弗,7.19-12.19万,19303
2022-03,1455,逸动,长安,6.39-7.69万,17193
2022-03,4223,长安CS55 PLUS,长安,7.99-12.59万,17176
2022-03,280,本田CR-V,本田,18.59-26.39万,15624
2022-03,542,卡罗拉,丰田,9.68-13.58万,15241
2022-03,414,速腾,大众,7.79-15.89万,15148
2022-03,289,雅阁,本田,12.48-18.38万,14855
2022-03,4802,秦PLUS DM,比亚迪,7.28-11.38万,14254
2022-03,546,RAV4荣放,丰田,12.78-19.68万,14100
2022-03,1290,五菱宏光,五菱汽车,4.65-6.09万,13726
2022-03,733,帝豪,吉利汽车,4.89-14.98万,13591
2022-03,4172,威兰达,丰田,12.98-22.08万,12856
2022-03,216,奔驰GLC,奔驰,42.78-53.13万,12748
2022-03,409,宝来,大众,6.49-9.59万,12679
2022-03,5257,QQ冰淇淋,奇瑞新能源,2.59-5.29万,11687
2022-03,1147,天籁,日产,12.78-18.78万,11679
2022-03,1150,逍客,日产,9.98-14.88万,11446
2022-03,4857,星越L,吉利汽车,13.27-16.47万,11049
2022-03,288,缤智,本田,10.49-12.49万,10989
2022-03,214,奔驰E级,奔驰,45.18-59.98万,10807
2022-03,96,奥迪A4L,奥迪,20.92-36.28万,10752
2022-03,4416,奔奔E-Star,长安欧尚,7.99万,10707
2022-03,398,帕萨特,大众,12.65-20.74万,10587
2022-03,146,宝马5系,宝马,30.59-52.59万,10495
2022-03,5008,海豚,比亚迪,9.18-12.58万,10448
2022-03,1594,哈弗M6,哈弗,7.19-9.29万,10244
2022-03,4300,汉EV,比亚迪,16.98-23.58万,10156
2022-03,616,传祺GS4,广汽传祺,8.98-10.08万,10085
2022-03,5248,元PLUS,比亚迪,10.98-14.58万,10017
2022-03,415,迈腾,大众,14.19-21.69万,9739
2022-03,4814,AION Y,埃安,10.98-14.58万,9501
2022-03,212,奔驰C级,奔驰,33.48-38.06万,9415
2022-03,99,奥迪A6L,奥迪,28.28-50.80万,9214
2022-03,3352,小鹏P7,小鹏汽车,19.99-22.49万,9183
2022-03,4563,哈弗大狗,哈弗,9.09-11.69万,9109
2022-03,2975,缤越,吉利汽车,5.98-8.98万,9090
2022-03,2916,奥迪Q5L,奥迪,26.50-32.50万,9071
2022-03,311,唐DM,比亚迪,16.98-26.98万,9056
2022-03,279,本田XR-V,本田,11.99-13.99万,9056
2022-03,4615,坦克300,坦克,19.98-33.00万,8922
2022-03,3192,五菱宏光V,五菱汽车,4.48-5.28万,8898
2022-03,4899,秦PLUS EV,比亚迪,9.98-17.98万,8682
2022-03,741,博越,吉利汽车,8.28-10.88万,8681
2022-03,2812,宝马X3,宝马,34.99-48.69万,8649
2022-03,3476,星瑞,吉利汽车,9.27-13.57万,8576
2022-03,404,途观L,大众,12.68-21.48万,8536
2022-03,145,宝马3系,宝马,21.49-28.79万,8519
2022-03,276,思域,本田,12.99-18.79万,8309
2022-03,1101,小蚂蚁,奇瑞新能源,5.59-7.29万,8150
2022-03,4629,哪吒V,哪吒汽车,7.39-10.38万,8122
2022-03,4079,皓影,本田,12.79-23.89万,8066
2022-03,3052,长安CS35 PLUS,长安,6.99-8.19万,8053
2022-03,353,别克GL8,别克,23.29-47.39万,7839
2022-03,1977,探歌,大众,10.79-12.87万,7734
2022-03,3159,红旗HS5,红旗,12.88-19.48万,7632
2022-03,536,汉兰达,丰田,17.98-27.88万,7622
2022-03,3068,亚洲龙,丰田,15.88-23.68万,7457
2022-03,1182,荣威RX5,荣威,7.49-15.59万,7231
2022-03,5369,锋兰达,丰田,8.78-14.68万,7190
2022-03,3094,科鲁泽,雪佛兰,9.49-10.89万,6822
2022-03,3101,AION S,埃安,11.88-16.99万,6798
2022-03,345,威朗,别克,12.89-15.89万,6762
2022-03,4654,风行T5 EVO,东风风行,9.99-13.99万,6612
2022-03,148,宝马X1,宝马,16.69-40.99万,6487
2022-03,5223,赛那,丰田,22.98-34.08万,6444
2022-03,1291,五菱荣光,五菱汽车,4.09-4.75万,6339
2022-03,2875,英仕派,本田,18.28-22.98万,6327
2022-03,4635,欧拉好猫,欧拉,9.38-12.38万,6316
2022-03,2835,探岳,大众,13.29-22.89万,6278
2022-03,3041,荣威i5,荣威,4.99-7.19万,6082
2022-03,2794,瑞虎8,奇瑞,7.99-15.99万,5960
2022-03,4272,零跑T03,零跑汽车,5.39-6.52万,5853
2022-03,4353,长安UNI-T,长安,9.99-12.99万,5734
2022-03,1938,捷途X70,捷途,8.69-12.28万,5600
2022-03,1014,马自达3 昂克赛拉,马自达,8.99-14.19万,5480
2022-03,410,高尔夫,大众,12.48-15.34万,5400
